location,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,price_per_sqft,listing_month,listing_year,location_tier,total_rooms,bed_bath_ratio
Westlands,Apartment,3,4,2,1668,24600000,14748.2,2,2026,High End,7,0.75
Westlands,Apartment,2,3,1,1346,13900000,10326.89,2,2026,High End,5,0.67
Westlands,Apartment,3,4,2,1668,24600000,14748.2,2,2026,High End,7,0.75
Westlands,Apartment,4,5,2,2293,31000000,13519.41,2,2026,High End,9,0.8
Westlands,Apartment,1,1,1,732,7000000,9562.84,2,2026,High End,2,1.0
Kilimani,Apartment,2,1,1,463,5200000,11231.1,2,2026,Mid Range,3,2.0
Westlands,Apartment,2,3,1,1184,13000000,10979.73,2,2026,High End,5,0.67
Kilimani,Apartment,2,2,1,1259,14700000,11675.93,2,2026,Mid Range,4,1.0
Kileleshwa,Apartment,4,5,2,2454,26000000,10594.95,2,2026,Mid Range,9,0.8
Westlands,Apartment,1,1,1,732,7000000,9562.84,2,2026,High End,2,1.0
Kileleshwa,Apartment,4,5,2,2454,26000000,10594.95,2,2026,Mid Range,9,0.8
Westlands,Apartment,1,1,1,624,8700000,13942.31,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,614,11236000,18299.67,2,2026,High End,2,1.0
Kileleshwa,Apartment,3,4,2,2207,24000000,10874.49,2,2026,Mid Range,7,0.75
Kilimani,Apartment,2,1,1,484,5500000,11363.64,2,2026,Mid Range,3,2.0
Riverside,Apartment,2,2,1,904,10000000,11061.95,2,2026,High End,4,1.0
Kilimani,Apartment,2,2,1,1259,14700000,11675.93,2,2026,Mid Range,4,1.0
Westlands,Apartment,2,3,1,1346,13900000,10326.89,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1346,13900000,10326.89,2,2026,High End,5,0.67
Westlands,Apartment,1,1,1,614,6200000,10097.72,2,2026,High End,2,1.0
Kileleshwa,Apartment,3,4,2,2207,24000000,10874.49,2,2026,Mid Range,7,0.75
Kileleshwa,Apartment,1,1,1,710,7000000,9859.15,2,2026,Mid Range,2,1.0
Kileleshwa,Apartment,1,1,1,700,6900000,9857.14,2,2026,Mid Range,2,1.0
Riverside,Apartment,1,1,1,646,7200000,11145.51,2,2026,High End,2,1.0
Westlands,Apartment,1,1,1,721,9000000,12482.66,2,2026,High End,2,1.0
Westlands,Apartment,2,3,1,1496,16600000,11096.26,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1496,16600000,11096.26,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1464,16200000,11065.57,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1464,16200000,11065.57,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1496,16600000,11096.26,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Westlands,Apartment,2,3,1,1152,12300000,10677.08,2,2026,High End,5,0.67
Kilimani,Apartment,5,6,3,3251,33500000,10304.52,2,2026,Mid Range,11,0.83
