source,location,address,property_type,bedrooms,bathrooms,parking,size_sqft,price_kes,listing_url,listing_date
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1453,15150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116949112,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,2.0,3.0,1.0,1184,9000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-116940454,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,2.0,2.0,1.0,1227,13000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951718,2026-02-23
property24,Kileleshwa,"Kileleshwa Nairobi, Kileleshwa, Nairobi",Apartment,2.0,2.0,2.0,807,7150000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-101750537,2026-02-23
property24,Westlands,"Westlands, Westlands, Nairobi",Apartment,4.0,5.0,3.0,2271,27500000,https://www.property24.co.ke/4-bedroom-apartment-flat-for-sale-in-westlands-116933194,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,8940000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116941574,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,1.0,1.0,1.0,732,7000000,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-116941527,2026-02-23
property24,Kileleshwa,"Gatundu Rd Kileleshwa, Kileleshwa, Nairobi",Apartment,3.0,3.0,2.0,1464,12500000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kileleshwa-116940470,2026-02-23
property24,Westlands,"Westlands Rd Nairobi, Westlands, Nairobi",Apartment,2.0,2.0,1.0,1238,12000000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116941633,2026-02-23
property24,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Apartment,3.0,,2.0,1873,21000000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-101731245,2026-02-23
property24,Riverside,"Riverside Dr Nairobi, Riverside, Nairobi",Apartment,3.0,,2.0,1873,21000000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-riverside-116931022,2026-02-23
property24,Westlands,"Rhapta Terraces Rhapta Road, Westlands, Nairobi",Apartment,3.0,4.0,2.0,2131,22550000,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-116949320,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1346,13900000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951749,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1346,13900000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951743,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1496,16600000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951774,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1496,16600000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951770,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1464,16200000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951763,2026-02-23
property24,Westlands,"Rhapta Road Nairobi, Westlands, Nairobi",Apartment,2.0,3.0,1.0,1464,16200000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-116951759,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,2.0,,1.0,1292,14800000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930365,2026-02-23
property24,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",Apartment,2.0,2.0,1.0,1130,9700000,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kilimani-116930428,2026-02-23
